,City,date,Hava.Sicakligi,PM10,NO,NO2,O3,Ruzgar.Hizi,Hava.Basinci
0,ANKARA,2008/02,-0.9551569506726457,89.78923766816143,,,,0.9910313901345291,918.0874439461884
1,ANKARA,2008/04,13.717546362339515,119.30670470756063,25.78688524590164,30.152011922503725,41.84126984126984,1.3680456490727533,914.3680456490728
2,ANKARA,2008/05,14.294416243654823,1177.65820642978,17.742138364779873,52.60796645702306,53.458333333333336,1.5431472081218274,906.1590524534687
3,ANKARA,2008/06,19.75,1607.0357142857142,6.472222222222222,39.94444444444444,47.76470588235294,1.8392857142857142,902.3392857142857
4,ANKARA,2008/07,23.310679611650485,43.85298196948683,7.320610687022901,41.804580152671754,91.78787878787878,1.2441054091539527,907.757281553398
5,ANKARA,2008/12,6.344086021505376,153.29569892473117,184.86516853932585,87.8314606741573,,1.3064516129032258,914.8172043010753
6,ANKARA,2009/04,12.069444444444445,74.72222222222223,39.0,82.8041958041958,34.75,1.5625,920.2222222222222
7,ANKARA,2009/06,21.755381604696673,40.29549902152642,10.443137254901961,39.950980392156865,,1.2309197651663406,908.7954990215264
8,ANKARA,2009/07,23.732758620689655,34.87931034482759,25.0,45.95043103448276,,0.9741379310344828,906.5193965517242
9,ANKARA,2009/12,5.065677966101695,84.53707627118644,118.21818181818182,66.93903743315508,12.355633802816902,2.1864406779661016,909.5105932203389
10,ANKARA,2010/01,2.8177847658979736,67.66212438853948,79.13339500462534,59.26919518963922,16.33731343283582,1.5948637316561844,914.2213487071978
11,ANKARA,2010/02,6.342365008709115,60.335784788078186,45.3996899911426,40.69198405668733,22.183435582822085,1.8941358622024385,910.3971356686666
12,ANKARA,2010/03,8.11846571622539,64.24541751527495,50.628697927148316,52.85443929937588,31.75925925925926,1.7817379497623897,914.8531907671419
13,ANKARA,2010/04,11.718493287918253,46.25185333600481,32.19406801329583,48.38711327026336,42.610161443494775,1.4964936886395512,915.9432979362853
14,ANKARA,2010/05,17.239819004524886,50.53092006033182,28.566739606126916,51.35065645514223,45.72187649593107,1.478318250377074,912.95116892911
15,ANKARA,2010/06,20.56979036015051,45.12058770829601,21.7742006615215,45.67056229327453,53.92830009496676,1.4608493101594697,911.2406378785164
16,ANKARA,2010/07,24.676253687315633,43.29369469026549,16.333922955974842,38.566627358490564,73.31651376146789,1.5619469026548674,912.2195796460177
17,ANKARA,2010/08,27.109984984984983,56.470908408408405,18.68784860557769,42.38227091633466,75.61496965610249,1.4395645645645645,912.542042042042
18,ANKARA,2010/09,21.508073817762398,53.099000384467516,30.001657589391428,39.77738432483475,50.74821973550356,1.585928489042676,914.9271434063821
19,ANKARA,2010/10,11.950246866691986,62.687998480820355,56.99337121212121,42.72419507575758,24.955963302752295,1.2426889479680971,917.2899734143563
20,ANKARA,2010/11,10.889513108614231,128.6350989834136,139.12970168612193,77.5037134119703,14.634744947064485,1.1075441412520064,920.6902086677368
21,ANKARA,2010/12,5.6890711356748085,99.69655910144411,103.37302248126561,63.24368581737441,164.01556064073228,1.3124108416547788,914.8965947584239
22,ANKARA,2011/01,1.552607994264205,73.23944890129054,103.83386046511627,107.27758139534883,16.933908045977013,1.4475712493278365,916.7406345223159
23,ANKARA,2011/02,2.2042621632488943,76.43839195979899,82.74136607828089,121.08825786646202,22.55233494363929,1.4847205468435867,913.8876156011258
24,ANKARA,2011/03,5.3352941176470585,72.97076648841355,67.07307171853857,114.19057284618854,29.201177625122668,1.6057040998217469,917.8910873440285
25,ANKARA,2011/04,9.313192904656319,50.60735402808574,29.059065934065934,43.22687728937729,33.38731304796287,1.765890613451589,911.4719142645972
26,ANKARA,2011/05,14.371304347826086,46.54747826086957,27.72461134665859,43.57863920856047,36.15320197044335,1.4834782608695651,914.3027826086957
27,ANKARA,2011/06,18.611078717201167,43.94033041788144,26.07893061744112,52.71207298960322,45.466431095406364,1.4542274052478135,912.7533527696793
28,ANKARA,2011/07,24.06369915579432,47.88584036838066,21.26688311688312,59.87619047619047,63.06591244466306,1.5721412125863392,911.493668457406
29,ANKARA,2011/08,23.808892514786866,37.49288829888109,15.64444944832245,46.68070254447196,58.18589743589744,3.44156638792576,916.3603843008995
30,ANKARA,2011/09,21.968108504398828,49.70986070381232,35.997577225923685,45.960226125580455,45.93793638479441,3.99358504398827,923.0552859253007
31,ANKARA,2011/10,12.049105512960935,72.13526834611172,79.5233665080052,44.716572912159236,18.0473017988008,3.4034381858083393,991.3041921213398
32,ANKARA,2011/11,3.8869501999272993,96.4885496183206,94.2211498111624,47.449223667645825,16.270761670761672,2.067892208063505,1006.6181453816724
33,ANKARA,2011/12,4.092239303574736,79.6494550652135,51.72174859423182,38.03301287865046,16.73595775324052,3.369327653269124,1019.7921837377293
34,ANKARA,2012/01,-0.3511874684183931,33.905222039473685,24.88374205267938,33.119663941871025,17.07,3.523496715512885,1013.0922182920667
35,ANKARA,2012/02,-1.0047291487532244,45.55081720834116,18.984263849967665,46.66522957533951,18.990950226244344,3.7300085984522786,1014.7570937231299
36,ANKARA,2012/03,3.6916788933137705,32.047161255214945,18.212891780011827,38.651685393258425,24.95164960182025,3.954726472437644,1017.6761685181303
37,ANKARA,2012/04,13.746451612903225,30.774211606643032,17.98607176581681,32.02785646836638,37.32062055591467,3.6744086021505376,1010.5550537634408
38,ANKARA,2012/05,15.7437876960193,37.08273602293672,16.226971428571428,44.016685714285714,46.5099675475197,3.446562123039807,1011.6566948130278
39,ANKARA,2012/06,21.1837986463621,86.42277318640954,18.457577652699605,50.50969355847405,68.23164377072477,4.075084602368866,1013.7011421319797
